name,description,icon,color,frequency,days_of_week,preferred_time,implementation_intention,habit_stack_after,environment_prompt,reward_description,temptation_bundle,completion_rate_start,completion_rate_end
Morning Sunlight,Step outside and bask in the morning light.,🌅,#FBBF24,daily,,07:30,After I open the curtains I will step outside for a few minutes of morning sun.,Waking up,Comfortable slippers and a shawl left by the back door.,A calm warm start that lifts the mood for the whole day.,,0.55,0.80
Savour a Small Pleasure,Pause to enjoy a small pleasure — perhaps a warm cup of tea by the window.,🍵,#34D399,daily,,08:00,When my morning sunlight is done I will sit quietly and enjoy one small pleasure slowly.,Morning sunlight,A favourite cup or chair set out by the window.,A small daily pleasure to savour without rushing.,Watch the birds in the garden while I rest.,0.70,0.90
Gentle Stretch,A few minutes of gentle stretching to keep the joints fluid.,🧘,#A78BFA,daily,,08:30,After my morning tea I will do five gentle stretches in my chair.,Warm tea ritual,Soft cushion placed on the chair as a reminder.,Looser easier movement throughout the day.,,0.40,0.65
Tend the Garden,Spend time gardening — watering planting or simply tidying.,💧,#00CFA0,recurring,"1,3,5",10:00,When the morning cools I will put on my gloves and tend to the garden.,Mid-morning,Watering can and gloves left by the patio door.,The quiet joy of nurturing something growing.,Listen to the radio or birdsong while I potter.,0.45,0.70
Gentle Movement,A gentle movement practice I enjoy — Tai Chi yoga or simple stretches.,🌿,#60A5FA,recurring,"2,4,6",11:00,When my morning programme finishes I will do a gentle movement practice I enjoy.,Mid-morning,Open space cleared in the living room with my video or mat ready.,A fluid unhurried body and a settled mind.,Follow my favourite gentle instructor.,0.30,0.55
Mindful Lunch,Eat slowly and stop at 80 percent full — hara hachi bu.,🥗,#F472B6,daily,,12:30,When I sit down to lunch I will eat slowly and pause before I feel full.,Midday,Smaller plate set out and the table laid calmly.,Easy digestion and a light comfortable afternoon.,,0.50,0.75
Afternoon Walk,A slow gentle walk around the neighbourhood or park.,🚶,#22D3EE,daily,,14:30,After lunch has settled I will put on my coat and walk at an easy pace.,Mindful lunch,Walking shoes and coat ready by the front door.,Fresh air gentle movement and a clearer head.,Notice one new thing in nature each walk.,0.40,0.68
Call a Friend,Connect with a close friend or family member — keep the moai strong.,☎️,#8B5CF6,recurring,"1,4",15:30,When I sit down with my afternoon tea I will phone someone dear to me.,Afternoon walk,Phone and address book kept on the side table.,Laughter warmth and the comfort of close company.,Save the call for a friend who makes me smile.,0.35,0.62
Creative Craft,Time for a beloved craft — knitting drawing or music.,🎨,#FB923C,recurring,"2,5",16:00,After my afternoon rest I will sit down with my craft for a little while.,Late afternoon,Craft basket left open and ready in the favourite chair.,The deep satisfaction of making and contributing.,Only work on a project I truly enjoy.,0.30,0.58
Gratitude Note,Write down one small thing to be thankful for.,📔,#FBBF24,daily,,20:00,After the evening meal I will write one good thing from today in my notebook.,Evening,Notebook and pen kept on the bedside table.,A peaceful unhurried close to the day.,,0.45,0.72
Evening Wind Down,Gentle reading or quiet music before bed.,📖,#A78BFA,daily,,21:00,When I am ready for bed I will read a few pages by the soft lamp.,Gratitude note,Book and reading lamp set beside the bed.,A restful slow descent into sleep.,Read a gentle comforting story.,0.50,0.78
